"","Gene_Symbol","Ensembl_ID","PGG_Family","F_Statistic","P_Value","FDR"
"682","CTHRC1","ENST00000301459","NA","157.250141286036","5.30266555865649e-34","2.76026102965968e-32"
"13531","CLEC4GP1",NA,"NA","156.004453302393","9.23630644105869e-34","4.7934488863176e-32"
"16020","ARPC3","ENST00000340373","NA","155.611767347429","1.10032145397545e-33","5.6933399304203e-32"
"5752","PDCL3","ENST00000632512","NA","155.478360269007","1.16775437209047e-33","6.0242182264082e-32"
"12954","FAM96A","ENST00000507767","pgAmat649.csv","154.440651510977","1.85513871287389e-33","9.54181762972817e-32"
"3235","GPRC5B","ENST00000361436","NA","154.152278609643","2.10993276862467e-33","1.08201359369055e-31"
"9011","EEF1A1","ENST00000307296","NA","154.091917020151","2.16755155235066e-33","1.10806650458921e-31"
"3147","RCC2","ENST00000490029","NA","154.085715904317","2.17355945524675e-33","1.10806650458921e-31"
"9691","RBMXP4","ENST00000582254","NA","153.936884837052","2.3228663385617e-33","1.18069929597127e-31"
"4775","SOX5","ENST00000431810","NA","153.750327146715","2.52461624229063e-33","1.27841972963687e-31"
"16690","UBE2I","ENST00000420603","NA","153.745633024233","2.52991290091314e-33","1.27841972963687e-31"
"13205","EMILIN2","ENST00000529567","pgAmat7957.csv","153.663668085492","2.62421391001461e-33","1.32220597063768e-31"
"5213","KIF4A","ENST00000331747","pgAmat1401.csv","153.608405397101","2.68977333598632e-33","1.35129833699173e-31"
"11868","RP11-241F15.1","ENST00000366997","NA","153.519012077644","2.79931429837091e-33","1.40225361462162e-31"
